discipline,region,count
Archery,,0
Archery,East Asia & Pacific,81
Archery,Europe & Central Asia,161
Archery,North America,52
Artistic G.,,0
Artistic G.,East Asia & Pacific,249
Artistic G.,Europe & Central Asia,"1,050"
Artistic G.,North America,169
Athletics,,0
Athletics,East Asia & Pacific,146
Athletics,Europe & Central Asia,"1,203"
Athletics,Latin America & Caribbean,239
Athletics,Middle East & North Africa,32
Athletics,North America,"1,035"
Athletics,South Asia,4
Athletics,Sub-Saharan Africa,196
Badminton,East Asia & Pacific,110
Badminton,Europe & Central Asia,10
Baseball,East Asia & Pacific,156
Baseball,Latin America & Caribbean,111
Baseball,North America,68
Basketball,,0
Basketball,East Asia & Pacific,84
Basketball,Europe & Central Asia,168
Basketball,Latin America & Caribbean,131
Basketball,North America,303
Basque Pelota,Europe & Central Asia,4
Beach volley.,East Asia & Pacific,8
Beach volley.,Europe & Central Asia,6
Beach volley.,Latin America & Caribbean,18
Beach volley.,North America,16
BMX,Europe & Central Asia,3
BMX,North America,3
Boxing,,0
Boxing,East Asia & Pacific,65
Boxing,Europe & Central Asia,346
Boxing,Latin America & Caribbean,121
Boxing,Middle East & North Africa,16
Boxing,North America,127
Boxing,South Asia,2
Boxing,Sub-Saharan Africa,44
Canoe / Kayak F,,0
Canoe / Kayak F,East Asia & Pacific,48
Canoe / Kayak F,Europe & Central Asia,557
Canoe / Kayak F,Latin America & Caribbean,5
Canoe / Kayak F,Middle East & North Africa,1
Canoe / Kayak F,North America,45
Canoe / Kayak S,,0
Canoe / Kayak S,East Asia & Pacific,3
Canoe / Kayak S,Europe & Central Asia,66
Canoe / Kayak S,North America,6
Canoe / Kayak S,Sub-Saharan Africa,1
Cricket,Europe & Central Asia,24
Croquet,Europe & Central Asia,8
Cycling Road,,0
Cycling Road,East Asia & Pacific,3
Cycling Road,Europe & Central Asia,232
Cycling Road,North America,22
Cycling Road,Sub-Saharan Africa,2
Cycling Track,,0
Cycling Track,East Asia & Pacific,79
Cycling Track,Europe & Central Asia,448
Cycling Track,Latin America & Caribbean,8
Cycling Track,North America,45
Cycling Track,Sub-Saharan Africa,14
Diving,,0
Diving,East Asia & Pacific,77
Diving,Europe & Central Asia,94
Diving,Latin America & Caribbean,11
Diving,Middle East & North Africa,2
Diving,North America,142
Dressage,,0
Dressage,Europe & Central Asia,164
Dressage,North America,30
Eventing,,0
Eventing,East Asia & Pacific,49
Eventing,Europe & Central Asia,157
Eventing,Latin America & Caribbean,9
Eventing,North America,59
Fencing,,0
Fencing,East Asia & Pacific,23
Fencing,Europe & Central Asia,"1,183"
Fencing,Latin America & Caribbean,30
Fencing,North America,48
Figure skating,,0
Figure skating,Europe & Central Asia,25
Figure skating,North America,1
Football,,0
Football,East Asia & Pacific,32
Football,Europe & Central Asia,615
Football,Latin America & Caribbean,260
Football,North America,125
Football,Sub-Saharan Africa,67
Golf,Europe & Central Asia,2
Golf,North America,28
Handball,,0
Handball,East Asia & Pacific,109
Handball,Europe & Central Asia,464
Hockey,,0
Hockey,East Asia & Pacific,264
Hockey,Europe & Central Asia,556
Hockey,Latin America & Caribbean,48
Hockey,North America,28
Hockey,South Asia,288
Hockey,Sub-Saharan Africa,16
Ice Hockey,,0
Ice Hockey,North America,19
Jeu de Paume,Europe & Central Asia,2
Jeu de Paume,North America,1
Judo,,0
Judo,East Asia & Pacific,134
Judo,Europe & Central Asia,179
Judo,Latin America & Caribbean,48
Judo,Middle East & North Africa,7
Judo,North America,14
Jumping,,0
Jumping,East Asia & Pacific,1
Jumping,Europe & Central Asia,190
